task	contrast	positive label	negative label	pretty name	tags
ArchiStandard	reading-listening	read sentence	listen to sentence	reading sentence vs. listening to sentence	['visual_word_recognition','visual_sentence_comprehension']
ArchiStandard	listening-reading	listen to sentence	read sentence	listening to sentence vs. reading a sentence	['auditory_word_recognition','auditory_sentence_comprehension']
ArchiStandard	reading-checkerboard	read sentence	checkerboard	read sentence vs. checkerboard	['visual_word_recognition','visual_sentence_comprehension','semantic_processing']
ArchiStandard	cognitive-motor	read and calculate	move hands	narrative/computation vs. button presses	['auditory_sentence_comprehension','auditory_arithmetic_processing','visual_arithmetic_processing','visual_sentence_comprehension','visual_word_recognition','auditory_word_recognition']
ArchiStandard	motor-cognitive	button presses	cognitive tasks	button presses vs. narrative/computation	['response_selection','response_execution','right_finger_response_execution']
ArchiSpatial	saccades	saccade	fixation	saccade vs. fixation	['visual_tracking','saccadic_eye_movement']
ArchiSpatial	rotation_hand	guess which hand	fixation	left or right hand	['visual_body_recognition','response_selection','hand_chirality_recognition']
ArchiSpatial	rotation_side	hand palm or back	fixation	hand palm or back vs. fixation	['visual_body_recognition','response_selection','hand_side_recognition']
ArchiSpatial	hand-side	guess which hand	hand palm or back	left or right hand vs. hand palm or back	['hand_chirality_recognition']
ArchiSpatial	object_grasp	object grasping	fixation	object grasping	['visual_tool_recognition','response_selection','response_execution','right_finger_response_execution','grasping']
ArchiSpatial	object_orientation	mimic orientation	fixation	image orientation reporting	['visual_tool_recognition','response_selection','response_execution','right_finger_response_execution','visual_orientation']
ArchiSpatial	grasp-orientation	object grasping	mimic orientation	object grasping vs. orientation reporting	['grasping']
ArchiSocial	triangle_mental	mental motion	fixation	mental motion of triangle	['animacy_perception','animacy_decision','motion_detection','mentalization']
ArchiSocial	triangle_random	random motion	fixation	randomly drifting triangle	['motion_detection']
ArchiSocial	triangle_mental-random	mental motion	random motion	mental motion vs. random motion	['animacy_perception','animacy_decision','mentalization']
ArchiSocial	false_belief_video	false-belief tale	fixation	false-belief story 	['visual_word_recognition','visual_sentence_comprehension','narrative_comprehension','visual_imagery','theory-of-mind']
ArchiSocial	false_belief_audio	false-belief tale	fixation	false-belief tale 	['auditory_word_recognition','auditory_sentence_recognition','narrative_comprehension','auditory_imagery','theory-of-mind']
ArchiSocial	mechanistic_video	mechanistic story	fixation	reading a mechanistic story	['visual_word_recognition','visual_sentence_comprehension','narrative_comprehension']
ArchiSocial	mechanistic_audio	mechanistic tale	fixation	listening to a mechanistic tale	['auditory_word_recognition','auditory_sentence_recognition','narrative_comprehension']
ArchiSocial	false_belief-mechanistic_video	false-belief story	mechanistic story	false-belief story vs. mechanistic story	['visual_imagery','theory-of-mind']
ArchiSocial	false_belief-mechanistic_audio	false-belief tale	mechanistic tale	false-belief tale vs. mechanistic tale	['auditory_imagery','theory-of-mind']
ArchiSocial	false_belief-mechanistic	false-belief plot	mechanistic plot	false-belief story or tale vs. mechanistic story or tale	['mental_imagery','theory-of-mind']
ArchiSocial	speech_sound	voice sound	silence	listen to voice sound	['voice_perception','auditory_perception']
ArchiSocial	non_speech_sound	natural sound	silence	listen to natural sound	['sound_perception','auditory_perception']
ArchiSocial	speech-non_speech	voice sound	natural sound	listen to voice sound vs. natural sound	['voice_perception']
ArchiEmotional	face_gender	face gender	fixation	guess the gender from face image	['visual_face_recognition','gender_discrimination','visual_pattern_recognition','visual_representation']
ArchiEmotional	face_control	scrambled image	fixation	look at scrambled image	['visual_representation','visual_orientation']
ArchiEmotional	face_gender-control	face gender	scrambled image	guess the gender from face image	['visual_face_recognition','gender_discrimination','visual_pattern_recognition']
ArchiEmotional	face_trusty	face trusty	fixation	assess face trustfulness	['visual_face_recognition','facial_trustworthiness_recognition','visual_pattern_recognition','visual_representation']
ArchiEmotional	face_trusty-control	face trusty	scrambled image	assess face trustfulness vs. view scrambled image	['visual_face_recognition','facial_trustworthiness_recognition','visual_pattern_recognition']
ArchiEmotional	face_trusty-gender	face trusty	face gender	assess face trustfulness vs. gender	['facial_trustworthiness_recognition']
ArchiEmotional	expression_gender	expression gender	fixation	guess gender from eyes image	['gender_discrimination','visual_pattern_recognition','visual_representation']
ArchiEmotional	expression_intention	expression intention	fixation	guess intention from eyes image	['emotional_expression','visual_pattern_recognition','visual_representation']
ArchiEmotional	expression_control	scrambled image	fixation	look at scrambled eyes image	['visual_pattern_recognition','visual_orientation']
ArchiEmotional	expression_gender-control	expression gender	scrambled image	guess the gender from eyes image vs. view scrambled image	['gender_discrimination','visual_representation']
ArchiEmotional	expression_intention-control	expression intention	scrambled image	guess intention from eyes image vs. view scrambled image	['emotional_expression','visual_representation']
ArchiEmotional	expression_intention-gender	expression intention	expression gender	guess intention vs. gender from eyes image	['emotional_expression']
ArchiEmotional	trusty_and_intention-control	face trusty /expression intention	scrambled image	assess face trustfulness or guess expression intention vs. scrambled image	['emotional_expression','facial_trustworthiness_recognition','visual_face_recognition']
ArchiEmotional	trusty_and_intention-gender	face trusty /expression intention	face/expression gender	assess face trustfulness or guess expression intention vs. guess the gender	['emotional_expression','facial_trustworthiness_recognition']
HcpEmotion	shape	shape outline	fixation	shape comparison	['visual_form_recognition','feature_comparison','response_selection','response_execution']
HcpEmotion	face	face image	fixation	emotional face comparison	['feature_comparison','emotional_face_recognition','response_selection','response_execution']
HcpEmotion	face-shape	face image	shape outline	emotional face comparison vs. shape comparison	['emotional_face_recognition']
HcpEmotion	shape-face	shape outline	face image	shape comparison vs. emotional face comparison	['visual_form_recognition']
HcpGambling	reward	reward	fixation	gambling with positive outcome	['response_selection','response_execution','reward_processing']
HcpGambling	punishment	punishment	fixation	negative gambling outcome	['response_selection','response_execution','punishment_processing']
HcpGambling	reward-punishment	reward	punishment	positive vs. negative gambling outcome	['reward_processing']
HcpGambling	punishment-reward	punishment	reward	negative vs. positive gambling outcome	['punishment_processing']
HcpMotor	left_hand-avg	left hand	any motion	move left hand vs. right hand, feet and tongue	['left_hand_response_execution']
HcpMotor	right_hand-avg	right hand	any motion	move right hand vs. left hand, feet and tongue	['right_hand_response_execution']
HcpMotor	left_foot-avg	left foot	any motion	move left foot vs. right foot, hands and tongue	['left_toe_response_execution']
HcpMotor	right_foot-avg	right foot	any motion	move right foot vs. left foot, hands and tongue	['right_toe_response_execution']
HcpMotor	tongue-avg	tongue	any motion	move tongue vs. hands and feet	['tongue_response_execution']
HcpMotor	left_hand	left hand	no motion	move left hand	['response_execution','left_hand_response_execution']
HcpMotor	right_hand	right hand	no motion	move right hand 	['response_execution','right_hand_response_execution']
HcpMotor	left_foot	left foot	no motion	move left foot 	['response_execution','left_toe_response_execution']
HcpMotor	right_foot	right foot	no motion	move right foot 	['response_execution','right_toe_response_execution']
HcpMotor	tongue	tongue	no motion	move tongue	['response_execution','tongue_response_execution']
HcpMotor	cue	visual task cue	fixation	motion cue of motion	['response_selection','working_memory']
HcpLanguage	story	tale	fixation	listening to tale	['auditory_sentence_recognition','narrative_comprehension','response_selection','response_execution']
HcpLanguage	math	mental addition	fixation	mental additions	['auditory_arithmetic_processing','response_selection','response_execution']
HcpLanguage	story-math	tale	mental addition	listening to tale vs. mental additions	['auditory_sentence_recognition','narrative_comprehension']
HcpLanguage	math-story	mental addition	tale	mental additions vs. listening to tale	['auditory_arithmetic_processing']
HcpRelational	match	visual matching	fixation	visual feature matching vs. fixation	['visual_form_recognition','visual_pattern_recognition','feature_comparison','response_selection','response_execution']
HcpRelational	relational	relational processing	fixation	relational comparison vs. fixation	['visual_form_recognition','visual_pattern_recognition','feature_comparison','response_selection','response_execution','relational_comparison']
HcpRelational	relational-match	relational processing	visual matching	relational comparison vs. matching	['relational_comparison']
HcpSocial	random	random motion	fixation	random motion vs. fixation	['motion_detection','response_selection','response_execution']
HcpSocial	mental	mental motion	fixation	mental motion vs. fixation	['animacy_perception','animacy_decision','mentalization','motion_detection','response_selection','response_execution']
HcpSocial	mental-random	mental motion	random motion	mental motion vs. random motion	['animacy_perception','animacy_decision','mentalization']
HcpWm	2back-0back	2-back	0-back	2-back vs. 0-back	['tool_maintenance','body_maintenance','place_maintenance','face_maintenance','response_selection','response_execution','updating','working_memory']
HcpWm	body-avg	body image	any image	body image versus face, place, tool image	['visual_body_recognition','body_maintenance']
HcpWm	face-avg	face image	any image	face image versus body, place, tool image	['visual_face_recognition','face_maintenance']
HcpWm	place-avg	place image	any image	place image versus face, body, tool image	['visual_place_recognition','place_maintenance']
HcpWm	tools-avg	tool image	any image	tool image versus face, place, body image	['visual_tool_recognition','tool_maintenance']
HcpWm	0back-2back	0-back	2-back	0-back vs. 2-back	['response_selection','response_execution','updating']
HcpWm	0back_body	0-back body image	fixation	body image 0-back task vs. fixation	['visual_body_recognition','body_maintenance','response_execution','working_memory']
HcpWm	2back_body	2-back body image	fixation	body image 2-back task vs. fixation	['visual_body_recognition','body_maintenance','response_execution','updating','working_memory']
HcpWm	0back_face	0-back face image	fixation	face image 0-back task vs. fixation	['visual_face_recognition','face_maintenance','response_execution','working_memory']
HcpWm	2back_face	2-back face image	fixation	face image 2-back task vs. fixation	['visual_face_recognition','face_maintenance','response_execution','updating','working_memory']
HcpWm	0back_tools	0-back tool image	fixation	tool image 0-back task vs. fixation	['visual_tool_recognition','tool_maintenance','response_execution','working_memory']
HcpWm	2back_tools	2-back tool image	fixation	tool image 2-back task vs. fixation	['visual_tool_recognition','tool_maintenance','response_execution','updating','working_memory']
HcpWm	0back_place	0-back place image	fixation	place image 0-back task vs. fixation	['visual_place_recognition','place_maintenance','response_execution','working_memory']
HcpWm	2back_place	2-back place image	fixation	place image 2-back task vs. fixation	['visual_place_recognition','place_maintenance','response_execution','updating','working_memory']
RSVPLanguage	consonant_string	consonant strings	fixation	read and encode consonant strings vs. fixation	['visual_string_recognition','string_maintenance','working_memory']
RSVPLanguage	word_list	read words	fixation	read words vs. fixation	['visual_word_recognition','word_maintenance','working_memory']
RSVPLanguage	word-consonant_string	read words	consonant strings	read words vs. consonant strings	['visual_word_recognition','word_maintenance']
RSVPLanguage	pseudoword_list	read pseudowords	fixation	read pseudowords vs. fixation	['visual_pseudoword_recognition','working_memory']
RSVPLanguage	pseudo-consonant_string	read pseudowords	consonant strings	read pseudowords vs. consonant strings	['visual_pseudoword_recognition']
RSVPLanguage	word-pseudo	read words	read pseudowords	read words vs. pseudowords	['visual_word_recognition','word_maintenance']
RSVPLanguage	simple	simple sentence	fixation	read sentence with simple syntax vs. fixation	['visual_word_recognition','sentence_comprehension','word_maintenance','working_memory']
RSVPLanguage	simple-consonant_string	simple sentence	consonant strings	read simple sentence vs. consonant strings	['visual_word_recognition','sentence_comprehension','word_maintenance']
RSVPLanguage	complex	complex sentence	fixation	read sentence with complex syntax vs. fixation	['visual_word_recognition','syntactic_parsing','sentence_comprehension','word_maintenance','working_memory']
RSVPLanguage	complex-consonant_string	complex sentence	consonant strings	read complex sentence vs. consonant strings	['visual_word_recognition','syntactic_parsing','sentence_comprehension','word_maintenance']
RSVPLanguage	complex-simple	complex sentence	simple sentence	read sentence with complex vs. simple syntax	['syntactic_parsing']
RSVPLanguage	sentence-consonant_string	read sentence	consonant strings	read sentence vs. consonant strings	['visual_word_recognition','syntactic_parsing','sentence_comprehension','word_maintenance','combinatorial_semantics']
RSVPLanguage	sentence-word	read sentence	read words	read sentence vs. words	['syntactic_parsing','sentence_comprehension','word_maintenance','combinatorial_semantics']
RSVPLanguage	sentence-pseudo	read sentence	read pseudowords	read sentence vs. pseudowords	['visual_word_recognition','syntactic_parsing','sentence_comprehension','word_maintenance']
RSVPLanguage	jabberwocky	read jabberwocky	fixation	read jabberwocky vs. fixation	['visual_pseudoword_recognition','sentence_comprehension','working_memory']
RSVPLanguage	jabberwocky-consonant_string	consonant strings	read jabberwocky	read jabberwocky vs. consonant strings	['visual_pseudoword_recognition','sentence_comprehension']
RSVPLanguage	jabberwocky-pseudo	read jabberwocky	read pseudowords	read jabberwocky vs. pseudowords	['sentence_comprehension']
RSVPLanguage	sentence-jabberwocky	read sentence	read jabberwocky	read sentence vs. jabberwocky	['visual_word_recognition','syntactic_parsing','word_maintenance','combinatorial_semantics']
RSVPLanguage	probe	probe	fixation	word probe	['response_selection','response_execution','recognition']
MTTWE	we_average_reference	all references in we island	fixation	updating ones position in space and time in west-east island	['auditory_perception','memory_retrieval','spatial_localization','cardinal-direction_judgment','temporal_cognition']
MTTWE	we_all_space_cue	space cue on all references in we island	fixation	spatial cue of the next event in west-east island	['auditory_perception','semantic_categorization','cardinal_orientation']
MTTWE	we_all_time_cue	time cue on all references in we island	fixation	time cue of the next event in west-east island	['auditory_perception','semantic_categorization','time_orientation']
MTTWE	we_all_space-time_cue	space cue on all references in we island	time cue on all references in we island	spatial vs. time cues in west-east island	['cardinal_orientation']
MTTWE	we_all_time-space_cue	time cue on all references in we island	space cue on all references in we island	time vs. spatial cues in west-east island	['time_orientation']
MTTWE	we_average_event	events from all references in we island	fixation	figuring out the space or time of an event in west-east island	['auditory_perception','spatial_working_memory','cardinal-direction_judgment','cardinal_orientation','temporal_cognition','time_orientation','spatial_distance']
MTTWE	we_space_event	space events from all references in we island	fixation	figuring out the position of an event in west-east island	['auditory_perception','spatial_working_memory','cardinal-direction_judgment','cardinal_orientation','spatial_distance']
MTTWE	we_time_event	time events from all references in we island	fixation	figuring out the time of an event in west-east island	['auditory_perception','temporal_categorization','time_orientation','temporal_distance']
MTTWE	we_space-time_event	space events from all references in we island	time events from all references in we island	event in space vs. event in time in west-east island	['spatial_working_memory','cardinal-direction_judgment','cardinal_orientation','spatial_distance']
MTTWE	we_time-space_event	time events from all references in we island	space events from all references in we island	event in time vs. event in space in west-east island	['temporal_categorization','time_orientation','temporal_distance']
MTTWE	we_westside_event	westside events	fixation	events occuring westside vs. fixation	['auditory_perception','spatial_working_memory','west_cardinal-direction_judgment','cardinal_orientation','spatial_distance']
MTTWE	we_eastside_event	eastside events	fixation	events occuring eastside vs. fixation	['auditory_perception','spatial_working_memory','east_cardinal-direction_judgment','cardinal_orientation','spatial_distance']
MTTWE	westside-eastside_event	westside events	eastside events	events occuring westside vs. eastside	['west_cardinal-direction_judgment']
MTTWE	eastside-westside_event	eastside events	westside events	events occuring eastside vs. westside	['east_cardinal-direction_judgment']
MTTWE	we_before_event	past events in we island	fixation	events occuring before vs. fixation in west-east island	['auditory_perception','temporal_categorization','past_time','temporal_distance','west_cardinal-direction_judgment','east_cardinal-direction_judgment']
MTTWE	we_after_event	future events in we island	fixation	events occuring after vs. fixation in west-east island	['auditory_perception','temporal_categorization','future_time','temporal_distance','west_cardinal-direction_judgment','east_cardinal-direction_judgment']
MTTWE	we_before-after_event	past events in we island	future events in we island	events occuring before vs. after in west-east island	['past_time']
MTTWE	we_after-before_event	future events in we island	past events in we island	events occuring after vs. before in west-east island	['future_time']
MTTWE	we_all_event_response	responses to events in we island	fixation	motor responses performed after every event condition in the west-east island	['response_selection','response_execution']
MTTNS	sn_average_reference	all references in sn island	fixation	updating ones position in space and time in south-north island	['auditory_perception','memory_retrieval','spatial_localization','cardinal-direction_judgment','temporal_cognition']
MTTNS	sn_all_space_cue	space cue on all references in sn island	fixation	spatial cue of the next event in south-north island	['auditory_perception','semantic_categorization','cardinal_orientation']
MTTNS	sn_all_time_cue	time cue on all references in sn island	fixation	time cue of the next event in south-north island	['auditory_perception','semantic_categorization','time_orientation']
MTTNS	sn_all_space-time_cue	space cue on all references in sn island	time cue on all references in sn island	spatial vs. time cues in south-north island	['cardinal_orientation']
MTTNS	sn_all_time-space_cue	time cue on all references in sn island	space cue on all references in sn island	time vs. spatial cues in south-north island	['time_orientation']
MTTNS	sn_average_event	events from all references in sn island	fixation	figuring out the space or time of an event in south-north island	['auditory_perception','spatial_working_memory','cardinal-direction_judgment','cardinal_orientation','temporal_cognition','time_orientation','spatial_distance']
MTTNS	sn_space_event	space events from all references in sn island	fixation	figuring out the position of an event in south-north island	['auditory_perception','spatial_working_memory','cardinal-direction_judgment','cardinal_orientation','spatial_distance']
MTTNS	sn_time_event	time events from all references in sn island	fixation	figuring out the time of an event in south-north island	['auditory_perception','temporal_categorization','time_orientation','temporal_distance']
MTTNS	sn_space-time_event	space events from all references in sn island	time events from all references in sn island	event in space vs. event in time in south-north island	['spatial_working_memory','cardinal-direction_judgment','cardinal_orientation','spatial_distance']
MTTNS	sn_time-space_event	time events from all references in sn island	space events from all references in sn island	event in time vs. event in space in south-north island	['temporal_categorization','time_orientation','temporal_distance']
MTTNS	sn_southside_event	southside events	fixation	events occuring southside vs. fixation	['auditory_perception','spatial_working_memory','south_cardinal-direction_judgment','cardinal_orientation','spatial_distance']
MTTNS	sn_northside_event	northside events	fixation	events occuring northside vs. fixation	['auditory_perception','spatial_working_memory','north_cardinal-direction_judgment','cardinal_orientation','spatial_distance']
MTTNS	southside-northside_event	southside events	northside events	events occuring southside vs. northside	['south_cardinal-direction_judgment']
MTTNS	northside-southside_event	northside events	southside events	events occuring northsife vs. southside	['north_cardinal-direction_judgment']
MTTNS	sn_before_event	past events in sn island	fixation	events occuring before vs. fixation in south-north island	['auditory_perception','temporal_categorization','past_time','temporal_distance','south_cardinal-direction_judgment','north_cardinal-direction_judgment']
MTTNS	sn_after_event	future events in sn island	fixation	events occuring after vs. fixation in south-north island	['auditory_perception','temporal_categorization','future_time','temporal_distance','south_cardinal-direction_judgment','north_cardinal-direction_judgment']
MTTNS	sn_before-after_event	past events in sn island	future events in sn island	events occuring before vs. after in south-north island	['past_time']
MTTNS	sn_after-before_event	future events in sn island	past events in sn island	events occuring after vs. before in south-north island	['future_time']
MTTNS	sn_all_event_response	responses to events in sn island	fixation	motor responses performed after all event condition in the south-north island	['response_selection','response_execution']
Preference	preference_constant	visual evaluation	fixation	object perception and evaluation	['object_categorization','object_recognition','object_detection','judgment']
Preference	preference_linear	visual preference	no preference	linear effect of preference	['reward_valuation','incentive_salience']
Preference	preference_quadratic	confidence in preference	no confidence 	quadratic effect of preference	['confidence_judgment']
Preference	food-others	food evaluation	other categories	evaluation of food vs. other categories	['food_cue_reactivity']
Preference	painting-others	painting evaluation	other categories	evaluation of paintings vs. other categories	['visual_form_discrimination','visual_color_discrimination']
Preference	face-others	face evaluation	other categories	evaluation of faces vs. other categories	['visual_face_recognition','face_perception','facial_attractiveness_recognition']
Preference	house-others	house evaluation	other categories	evaluation of houses vs. other categories	['visual_place_recognition','visual_scene_perception']
PreferenceFood	food_constant	food evaluation	fixation	evaluation of food	['food_cue_reactivity','judgment']
PreferenceFood	food_linear	food preference	fixation	linear effect of food preference	['food_cue_reactivity','reward_valuation','incentive_salience']
PreferenceFood	food_quadratic	confidence in food preference	fixation	quadratic effect of food preference	['food_cue_reactivity','confidence_judgment']
PreferencePaintings	painting_constant	painting evaluation	fixation	evaluation of paintings	['visual_form_discrimination','visual_color_discrimination','judgment']
PreferencePaintings	painting_linear	painting preference	fixation	linear effect of paintings preference	['visual_form_discrimination','visual_color_discrimination','reward_valuation','incentive_salience']
PreferencePaintings	painting_quadratic	confidence in painting preference	fixation	quadratic effect of paintings preference	['visual_form_discrimination','visual_color_discrimination','confidence_judgment']
PreferenceFaces	face_constant	face evaluation	fixation	evaluation of faces	['visual_face_recognition','face_perception','facial_attractiveness_recognition','judgment']
PreferenceFaces	face_linear	face preference	fixation	linear effect of face preference	['visual_face_recognition','face_perception','facial_attractiveness_recognition','reward_valuation','incentive_salience']
PreferenceFaces	face_quadratic	confidence in face preference	fixation	quadratic effect of face preference	['visual_face_recognition','face_perception','facial_attractiveness_recognition','confidence_judgment']
PreferenceHouses	house_constant	house evaluation	fixation	evaluation of houses	['visual_place_recognition','judgment']
PreferenceHouses	house_linear	house preference	fixation	linear effect of houses preference	['visual_place_recognition','reward_valuation','incentive_salience']
PreferenceHouses	house_quadratic	confidence in house preference	fixation	quadratic effect of houses preference	['visual_place_recognition','confidence_judgment']
TheoryOfMind	photo	fact judgments	fixation	manipulation of fact judgments	['semantic_processing','response_execution','response_selection','narrative_comprehension']
TheoryOfMind	belief	belief judgments	fixation	manipulation of belief judgments	['semantic_processing','response_execution','response_selection','narrative_comprehension','theory-of-mind']
TheoryOfMind	belief-photo	belief judgments	fact judgments	belief vs. factual judgments	['theory-of-mind']
EmotionalPain	physical_pain	physical-pain story	fixation	reading physical pain story	['narrative_comprehension','response_execution','response_selection','empathy','imagined_physical_pain']
EmotionalPain	emotional_pain	emotional-pain story	fixation	reading emotional pain story	['narrative_comprehension','response_execution','response_selection','empathy','imagined_emotional_pain']
EmotionalPain	emotional-physical_pain	emotional-pain story	physical-pain story	emotional vs. physical pain story	['imagined_emotional_pain']
PainMovie	movie_pain	physical-pain movie	fixation	movie with physically painful events	['visual_attention','empathy','imagined_physical_pain']
PainMovie	movie_mental	mental movie	fixation	movie with events about changes in beliefs, desires and emotions	['visual_attention','empathy','imagined_emotional_pain','mentalization','theory-of-mind']
PainMovie	movie_mental-pain	mental movie	physical-pain movie	mental events vs. physically painful events	['imagined_emotional_pain','mentalization','theory-of-mind']
VSTM	vstm_constant	vstm response to constant numerosity	fixation	visual orientation	['visual_orientation','visual_form_discrimination','shape_recognition','short-term_memory','response_selection','response_execution']
VSTM	vstm_linear	vstm response to numerosity	fixation	linear effect of numerosity in visual orientation	['visual_working_memory','numerosity']
VSTM	vstm_quadratic	vstm response to numerosity interaction	fixation	quadratic effect of numerosity in visual orientation	['visual_buffer','numerosity']
Enumeration	enumeration_constant	enumeration response to constant numerosity	fixation	enumeration	['enumeration','numerosity','shape_recognition','response_selection','response_execution']
Enumeration	enumeration_linear	enumeration response to numerosity	fixation	linear effect of numerosity in enumeration	['visual_working_memory','numerosity']
Enumeration	enumeration_quadratic	enumeration response to numerosity interaction	fixation	quadratic effect of numerosity in enumeration	['visual_buffer','numerosity']
Self	instructions	instruction	fixation	read instruction in form of a question	['reading']
Self	encode_self	self-reference encoding	fixation	encoding of adjectives processed with self-reference	['judgment','reading','response_selection','response_execution','self-reference_effect']
Self	encode_other	other-reference encoding	fixation	encoding of adjectives processed with other-reference	['judgment','reading','response_selection','response_execution']
Self	encode_self-other	self-reference encoding	other-reference encoding	self-reference effect	['self-reference_effect']
Self	recognition_hit	memory retrieval	fixation	recognition of adjectives previously displayed	['recognition','episodic_memory','reading','response_selection','response_execution']
Self	recognition_self_hit	self-reference recognition	fixation	recognition of adjectives previously displayed with self-reference	['recognition','reading','response_selection','response_execution','self-reference_effect']
Self	recognition_other_hit	other-reference recognition	fixation	recognition of adjectives previously displayed with other-reference	['recognition','reading','response_selection','response_execution','other-reference_effect']
Self	recognition_self-other	self-reference recognition	other-reference recognition	memory retrieval of encoded information with self-reference	['self-reference_effect']
Self	correct_rejection	memory	fixation	identification of a new adjective	['memory,reading','response_selection','response_execution']
Self	recognition_hit-correct_rejection	recognition	memory 	recognition of an adjective previously displayed	['recognition','episodic_memory']
Self	false_alarm	no recognition	fixation	erroneous response	['response_selection','response_execution']
Bang	talk-no_talk	speech	no speech	speech vs. non-speech sections in movie watching	['speech_perception','speech_processing','language_processing','language_comprehension']
Bang	talk	speech	fixation	speech sections in movie watching	['speech_perception','speech_processing','_language_comprehension','_language_processing','action_perception','_audiovisual_perception','_auditory_scene_analysis','social_cognition']
Bang	no_talk	no speech	fixation	non-speech section in movie watching	['action_perception','audiovisual_perception','auditory_scene_analysis','social_cognition']
Wedge	lower_meridian	lower_meridian	fixation	visual representation in the lower half-plane of the visual field delimited by its horizontal meridian	['lower-left_vision','lower-right_vision','visual_color_discrimination']
Wedge	upper_meridian	upper_meridian	fixation	visual representation in the upper half-plane of the visual field delimited by its horizontal meridian	['upper-left_vision','upper-right_vision','visual_color_discrimination']
Wedge	lower_right	lower_right	fixation	visual representation in the lower-right quadrant of the visual field delimited by its vertical and horizontal meridians	['lower-right_vision','visual_color_discrimination']
Wedge	upper_left	upper_left	fixation	visual representation in the upper-left quadrant of the visual field delimited by its vertical and horizontal meridians	['upper-left_vision','visual_color_discrimination']
Wedge	right_meridian	right_meridian	fixation	visual representation in the right half-plane of the visual field delimited by its vertical meridian	['lower-right_vision','upper-right_vision','visual_color_discrimination']
Wedge	left_meridian	left_meridian	fixation	visual representation in the left half-plane of the visual field delimited by its vertical meridian	['lower-left_vision','upper-left_vision','visual_color_discrimination']
Wedge	upper_right	upper_right	fixation	visual representation in the upper-right quadrant of the visual field delimited by its vertical and horizontal meridians	['upper-right_vision','visual_color_discrimination']
Wedge	lower_left	lower_left	fixation	visual representation in the lower-left quadrant of the visual field delimited by its vertical and horizontal meridians	['lower-left_vision','visual_color_discrimination']
Ring	foveal	foveal	fixation	visual representation in the fovea	['foveal_vision','visual_color_discrimination']
Ring	middle	middle	fixation	visual representation in the mid-periphery of the visual field	['mid-peripheral_vision','visual_color_discrimination']
Ring	peripheral	peripheral	fixation	visual representation in the far-periphery of the visual field	['far-peripheral_vision','visual_color_discrimination']
Lec2	attend	attended text	fixation	response to attended text	['language_processing','language_comprehension','reading','word_maintenance','working_memory']
Lec2	unattend	non-attended text	fixation	response to unattended text	['reading','inhibition']
Lec2	attend-unattend	attended text	non-attended text	response to attended vs. unattended text	['language_processing','language_comprehension','word_maintenance','working_memory']
Audi	tear	tear sound	silence	listen to tears	['auditory_perception','auditory_attention','sound_perception','voice_perception','listening']
Audi	suomi	unknown language	silence	listen to unknown language	['auditory_perception','auditory_attention','sound_perception','voice_perception','listening','speech_perception','language_processing']
